Rank,Attribute,Entropy,Unique_Values,Total_Values
1,Fonts_Documents,10.5507,1500,1500
2,CSS_ColorsCss4,10.5507,1500,1500
3,Audio,10.5507,1500,1500
4,Canvas_GetImageData,10.5507,1500,1500
5,Canvas_ToBlob,10.5507,1500,1500
6,CSS_ColorsSystem,10.5507,1500,1500
7,Canvas_ToDataURL,10.5507,1500,1500
8,Fonts_Proportional,10.5494,1499,1500
9,Fonts_GlyphOffset,10.5187,1476,1500
10,DomRect_ElementGetClientRects,10.4836,1450,1500
11,DomRect_ElementBoundingClientRect,10.4836,1450,1500
12,DomRect_GetClientRects,10.4721,1441,1500
13,Datetime,10.4671,1438,1500
14,Device_SpeechEngines,9.6614,1140,1500
15,Elements_Height,8.4338,393,1500
16,Elements_Keys,4.9392,31,1500
17,MISC_NavigatorKeys,4.9389,31,1500
18,Timezone,4.7035,33,1500
19,Screen_Inner,3.7801,25,1500
20,Language,3.2545,14,1500
21,Screen_DPI,2.9183,11,1500
22,Feature_OS,2.5435,7,1500
23,Device_HardwareConcurrency,2.5009,8,1500
24,Media_TypeSupportedAudio,2.1539,5,1500
25,Feature_Browser,1.8925,6,1500
26,Device_Plugins,1.6945,4,1500
27,Storage_Notification,1.5445,3,1500
28,Storage_Push,1.5321,3,1500
29,Geolocation,1.5259,3,1500
30,Media_Capability,1.3932,3,1500
31,Device_Pointer,1.263,3,1500
32,Screen_ColorDepth,1.1715,4,1500
33,MISC_PerfNavigation,1.161,3,1500
34,Canvas_IsPointInStroke,0.9998,2,1500
35,Canvas_PointInPath,0.9993,2,1500
36,Header_Connection,0.984,3,1500
37,Storage_AppCache,0.9729,2,1500
38,Header_Beacon,0.9222,2,1500
39,Device_AnyHover,0.8755,2,1500
40,Media_IsTypeSupportedVideo,0.7839,2,1500
41,Media_CanPlayAudio,0.7536,2,1500
42,Media_Session,0.7338,2,1500
43,Header_GlobalPrivacyControl,0.7111,2,1500
44,Media_CanPlayVideo,0.6994,2,1500
45,Device_Keyboard,0.623,2,1500
46,Device_MediaDevices,0.5556,2,1500
47,Device_Gamepads,0.3998,2,1500
48,Header_Online,0.3114,2,1500
49,UserAgent_AppCodeName,0.0,1,1500
50,Device_VR,0.0,1,1500
51,UserAgent_Product,0.0,1,1500
52,UserAgent_AppName,0.0,1,1500
