Feature_Browser,Device_Gamepads,Header_Connection,Media_CanPlayAudio,Feature_OS,Device_HardwareConcurrency,Header_GlobalPrivacyControl,Media_CanPlayVideo,UserAgent_AppCodeName,Device_Keyboard,Header_Online,Media_TypeSupportedAudio,UserAgent_AppName,Device_MediaDevices,Storage_AppCache,Media_IsTypeSupportedVideo,UserAgent_Product,Device_Pointer,Storage_Notification,Media_Capability,Screen_ColorDepth,Device_Plugins,Storage_Push,Media_Session,Screen_Inner,Device_SpeechEngines,Fonts_Documents,CSS_ColorsCss4,Screen_DPI,Device_VR,Fonts_GlyphOffset,Canvas_ToDataURL,Device_AnyHover,Header_Beacon,Fonts_Proportional,CSS_ColorsSystem,MISC_NavigatorKeys,MISC_PerfNavigation,Canvas_ToBlob,Canvas_GetImageData,Language,Timezone,Geolocation,Audio,Datetime,Elements_Height,Elements_Keys,Canvas_PointInPath,Canvas_IsPointInStroke,DomRect_ElementBoundingClientRect,DomRect_ElementGetClientRects,DomRect_GetClientRects
Firefox,0,keep-alive,probably,Windows 10,8,0,maybe,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,present,probably,Gecko,fine,granted,none,32,,granted,yes,1366x768,Karen; Festival; Microsoft Mark; eSpeak; Microsoft David; Google UK English Female,Comic Sans MS; Courier New; Droid Sans; Georgia; Helvetica; Impact; Monaco; Noto Serif; Palatino,#7d25ab,96,not supported,0.7342,8fb386ccde369aeee408db0a372879d6a1e1d447,hover,present,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Bookman; Cantarell; Comic Sans MS; DejaVu Sans; Droid Sans; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Monaco; Noto Sans; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu,#ea22b8,53,0,e4e262a2ebff5d05309550e52c9e6660e443d68b,e40a0d69c1196fdfa299411015d7032b723a63c5,de-DE,-300,prompt,cccea4ed18ca8bb3ea2407c32483db2cd5d24e70,2023-02-13 11:00,692,24,true,true,1.8548,1.9291,1.8848
Chrome,0,keep-alive,,Windows 10,12,1,probably,Mozilla,present,true,audio/webm,Netscape,present,present,probably,Gecko,fine,granted,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,denied,yes,1920x1080,eSpeak; Google US English; Karen; Microsoft Mark; Samantha,Bookman; Cantarell; Comic Sans MS; Fira Code; Open Sans; Palatino; Roboto; Ubuntu,#0ef171,96,not supported,1.0424,64deb1ae58f0567128d07742ae4c7e9bd8baaca4,none,present,AR PL UMing CN; Abyssinica SIL; Arial; Bookman; Cantarell; Droid Sans; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Tahoma; Times New Roman; Trebuchet MS; Ubuntu,#9331a3,58,0,f66900f90979fd7683c4e3f464ab0b0bafb1875b,eef941f189224126a20699ed7ca559a37cd8cb30,es-ES,-480,denied,4dcccc3228103eaff34d6c46a2a0e064cc49c248,2023-06-11 07:00,722,41,true,true,1.6732,1.5663,1.6451
Chrome,0,keep-alive,probably,Windows 11,4,0,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,absent,probably,Gecko,coarse,denied,full,24,Shockwave Flash; PDF Viewer,granted,yes,1024x768,Google UK English Male; Alex,AR PL UMing HK; Abyssinica SIL; Arial; Droid Sans; Fira Code; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#b098d2,110,not supported,1.8431,6786266e254b9bce4404ce5713364b4dd685bddb,hover,present,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Open Sans; Roboto; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#45c17f,33,0,e8464e78d102efe8ba9e2ce7b8486ceceeb796e5,43c6e4c2c6fba8f95c7478d0b0a59656b3973747,hi-IN,540,denied,be45252d66c4698d20f7ac55c1d2bcde24ec39c6,2022-09-29 04:00,758,48,false,false,0.5672,0.5491,0.6832
Chrome,0,keep-alive,probably,Windows 10,4,1,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,absent,probably,Gecko,fine,granted,none,32,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,yes,1366x768,Alex; Victoria; Google US English; Google UK English Female; Fiona; Google UK English Male,AR PL UMing CN; Abyssinica SIL; Aharoni CLM; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Sans; Noto Sans; Open Sans; Palatino; Roboto; Source Code Pro; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#e0b5ec,160,not supported,1.4563,3660535b130f074f413de7f80717f61887ba6bd8,none,present,Bookman; Cantarell; Comic Sans MS; Droid Sans; Lucida Console; Monaco; Noto Serif; Palatino; Source Code Pro; Times New Roman; Trebuchet MS,#3a641c,41,0,9ef0e967bc93830fafbf39452e77d5bc87b1ff9a,6ab77ac37c3e2fe89ba9ae272e6bcbd18867bd3b,hi-IN,60,denied,4ebd7615832990b899c9bfc520c38ba14ef80e8b,2023-07-04 10:00,594,23,true,true,2.3094,2.278,2.2504
Edge,0,keep-alive,,Windows 10,8,1,probably,Mozilla,present,true,audio/webm,Netscape,present,absent,probably,Gecko,coarse,default,full,24,,default,yes,1280x800,eSpeak; Google UK English Male; Karen; espeak-ng; Microsoft Zira; Alex,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Arial; DejaVu Sans; Droid Sans; Garamond; Geneva; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#dca330,144,not supported,-1.0206,571130b5b38956bb9f700ae3c8be4bbd921d9bad,hover,absent,AR PL UMing HK; Aharoni CLM; Geneva; Helvetica; Liberation Mono; Lucida Console; Open Sans; Roboto; Trebuchet MS; Ubuntu,#62bede,54,0,8e6e8b9e1a0595e514ffbfd4060c59a7c79fec31,c4f1c43ad8de987d26af0855df5029f886ae3745,en-US,660,granted,9cb274af4ea3591e5e6d72d494519fe096d3011b,2023-12-14 16:00,817,21,true,false,1.2822,1.3608,1.3262
Firefox,0,keep-alive,probably,Android 12,8,0,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,present,probably,Gecko,fine,default,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,yes,1920x1080,Samantha; Alex; Google US English; Microsoft David; Festival,AR PL UMing CN; Abyssinica SIL; Aharoni CLM; Arial; Bookman; Cantarell; Comic Sans MS; Droid Sans; Geneva; Helvetica; Lucida Console; Lucida Sans; Noto Serif; Palatino; Roboto; Source Code Pro; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#05a627,96,not supported,-1.4895,3f5fc5d8123c86d2c325c44ba451f520770b8bcf,hover,present,AR PL UMing HK; Aharoni CLM; Cantarell; Courier New; DejaVu Sans; Fira Code; Garamond; Geneva; Helvetica; Impact; Liberation Mono; Lucida Sans; Monaco; Noto Sans; Open Sans; Roboto; Tahoma; Times New Roman; Trebuchet MS; Verdana,#4108f5,50,0,902e1d308506a310ea723ba054d786b43c5df092,125ab7e8f288650d525a2365f5523df8bd2cc2bd,zh-CN,-420,prompt,d8deedb03ca8aaca74f70d919f664c4671131a63,2022-02-11 00:00,706,26,false,false,1.8778,1.9491,1.9934
Edge,0,keep-alive,probably,macOS 12,32,0,probably,Mozilla,present,true,audio/mp4,Netscape,present,absent,maybe,Gecko,fine,denied,full,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,denied,yes,1920x1080,Festival; Samantha; Google UK English Female; Alex,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Cantarell; Comic Sans MS; Garamond; Geneva; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Open Sans; Roboto; Tahoma; Times New Roman; Verdana,#47c9a5,96,not supported,-0.0228,ce86cbae60de91840f9e685919b4086ceb608f8d,hover,present,AR PL UMing CN; Abyssinica SIL; Arial; Bookman; Comic Sans MS; Courier New; Droid Sans; Fira Code; Garamond; Geneva; Impact; Liberation Mono; Lucida Console; Lucida Sans; Noto Serif; Open Sans; Roboto; Source Code Pro; Trebuchet MS,#7c13b4,48,0,3542f30cda37fc10c74180d039f3318e4a23d692,525575d024f25c149e90373853721d0abd347951,en-US,120,denied,2cd2a534ee16b75a5585d34ad774253974ea0927,2022-12-19 13:00,961,37,true,true,0.7589,0.7231,0.6607
Chrome,0,keep-alive,probably,macOS 13,4,0,probably,Mozilla,present,false,audio/mp4; audio/ogg,Netscape,present,present,maybe,Gecko,fine,default,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,denied,yes,1366x768,Google US English; Microsoft Zira,AR PL UMing CN; AR PL UMing HK; Aharoni CLM; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Fira Code; Garamond; Georgia; Helvetica; Impact; Lucida Console; Noto Sans; Open Sans; Palatino; Roboto; Source Code Pro; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#3877df,120,not supported,-0.7785,c3ed5fbac4b293e1d03852926f897da9632d29db,hover,present,AR PL UMing HK; Abyssinica SIL; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Geneva; Impact; Tahoma; Trebuchet MS; Ubuntu,#26b704,39,1,135c477f66ef14b5551d5ee1fcf5a5df20c663ae,64a58b714c763bbc10d431e862a8065bbce6e271,en-US,-300,denied,de7baec7a78492fa041d6846fecbfd7cbb82cafe,2023-12-05 07:00,715,45,false,false,2.3401,2.4129,2.4469
Safari,0,keep-alive,probably,macOS 12,4,0,probably,Mozilla,absent,true,audio/mp4; audio/ogg,Netscape,absent,absent,probably,Gecko,fine,granted,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,denied,yes,1920x1200,Google UK English Male; Karen; Alex,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Arial; Bookman; Cantarell; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Open Sans; Palatino; Roboto; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#635cac,96,not supported,-1.1858,1ccad9d87d364c327bbfeb3e7aa045fd5155acee,hover,absent,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Arial; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Georgia; Liberation Mono; Lucida Sans; Monaco; Open Sans; Palatino; Source Code Pro; Tahoma; Times New Roman; Ubuntu,#e4b677,44,0,e822805abc1efd05a8edddabe9c7226ceda46fab,5334eb493050fd2b15bf6ff4324204f94011b65d,en-US,-300,denied,50ddf7371e1f5afd7b9bcd2838af7abf8838c64c,2023-09-06 16:00,962,48,false,false,1.8403,1.7638,1.8191
Chrome,0,close,,Windows 10,12,0,probably,Mozilla,absent,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,absent,probably,Gecko,none,default,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,no,1280x720,Victoria; Karen,AR PL UMing HK; Arial; Courier New; Droid Sans; Garamond; Geneva; Georgia; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Palatino; Roboto; Source Code Pro; Trebuchet MS; Verdana,#baddd6,72,not supported,-0.7334,b4bad05aa51b92378736df3c3e3fe9544a8fcddf,hover,absent,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Arial; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Geneva; Georgia; Helvetica; Lucida Console; Lucida Sans; Monaco; Noto Sans; Open Sans; Palatino; Roboto; Tahoma; Trebuchet MS; Ubuntu; Verdana,#289c21,57,0,0ae3aaac2e611c23bf1d6d85a1116fa3b4d2ba9c,b8febd7a6218f34b61085ed4fc9276a24f0e4c6f,en-GB,525,prompt,506bfa05329a79d0cf05396898dc992301f19819,2023-05-25 18:00,653,27,false,true,1.4685,1.4267,1.5424
